Age Bracket,Gender,Temperature of food,Texture of food,Stacking,Type of Sanitiser,No. of Vents,Vents Sizes,Flut Size,Packaging Leaking,Package Satisfaction,Sanitiser Satisfaction
65+,Female,Just Right,Dry,Bottom,Gel 3ml,2,Small,C,Yes,Not Satisfied,Satisfied
18-24,Female,Just Right,Dry,Bottom,Liquid 2ml,2,Small,C,No,Neutral,Satisfied
65+,Male,Just Right,Dry,Bottom,Gel 3ml,2,Small,C,Yes,Neutral,Satisfied
35-44,Female,Cold,Just Right,Bottom,Gel 3ml,2,Small,C,No,Satisfied,Satisfied
35-44,Male,Just Right,Just Right,Bottom,Liquid 2ml,2,Small,C,No,Satisfied,Satisfied
55-64,Male,Just Right,Just Right,Bottom,Gel 3ml,2,Small,C,No,Satisfied,Satisfied
18-24,Male,Cold,Just Right,Bottom,Liquid 2.5ml,2,Small,C,No,Neutral,Satisfied
55-64,Female,Cold,Dry,Bottom,Gel 3ml,2,Small,C,Yes,Not Satisfied,Satisfied
25-34,Male,Too Cold,Dry,Bottom,Liquid 2ml,2,Small,C,No,Not Satisfied,Satisfied
25-34,Female,Just Right,Dry,Bottom,Liquid 2ml,2,Small,C,No,Satisfied,Very Satisfied
45-54,Female,Just Right,Dry,Bottom,Gel 3ml,2,Small,C,No,Neutral,Very Satisfied
45-54,Male,Cold,Just Right,Bottom,Liquid 2ml,2,Small,C,No,Neutral,Satisfied
65+,Female,Cold,Dry,Top,Gel 3ml,2,Small,C,No,Neutral,Satisfied
18-24,Female,Cold,Soggy,Top,Liquid 2ml,2,Small,C,No,Not Satisfied,Satisfied
65+,Male,Just Right,Dry,Top,Gel 3ml,2,Small,C,Yes,Neutral,Satisfied
35-44,Female,Cold,Just Right,Top,Gel 3ml,2,Small,C,No,Satisfied,Satisfied
35-44,Male,Cold,Just Right,Top,Liquid 2ml,2,Small,C,No,Satisfied,Satisfied
55-64,Male,Cold,Just Right,Top,Gel 3ml,2,Small,C,No,Satisfied,Satisfied
18-24,Male,Just Right,Just Right,Top,Liquid 2.5ml,2,Small,C,No,Satisfied,Satisfied
55-64,Female,Cold,Just Right,Top,Gel 3ml,2,Small,C,Yes,Satisfied,Satisfied
25-34,Male,Cold,Soggy,Top,Liquid 2ml,2,Small,C,No,Neutral,Satisfied
25-34,Female,Just Right,Just Right,Top,Liquid 2ml,2,Small,C,Yes,Not Satisfied,Neutral
45-54,Female,Just Right,Dry,Top,Gel 3ml,2,Small,C,No,Neutral,Satisfied
45-54,Male,Cold,Just Right,Top,Liquid 2ml,2,Small,C,Yes,Not Satisfied,Very Satisfied
65+,Female,Cold,Just Right,Bottom,Gel 3ml,2,Small,E,No,Satisfied,Satisfied
18-24,Female,Cold,Soggy,Bottom,Liquid 2ml,2,Small,E,No,Neutral,Satisfied
65+,Male,Hot,Just Right,Bottom,Gel 3ml,2,Small,E,No,Neutral,Satisfied
35-44,Female,Cold,Just Right,Bottom,Gel 3ml,2,Small,E,No,Satisfied,Neutral
35-44,Male,Just Right,Just Right,Bottom,Liquid 2ml,2,Small,E,No,Satisfied,Satisfied
55-64,Male,Cold,Just Right,Bottom,Gel 3ml,2,Small,E,No,Satisfied,Satisfied
18-24,Male,Cold,Just Right,Bottom,Liquid 2.5ml,2,Small,E,No,Neutral,Satisfied
55-64,Female,Cold,Just Right,Bottom,Gel 3ml,2,Small,E,Yes,Satisfied,Satisfied
